Date,Close
5/23/2002 16:00:00,1.2
5/24/2002 16:00:00,1.21
5/28/2002 16:00:00,1.16
5/29/2002 16:00:00,1.1
5/30/2002 16:00:00,1.07
5/31/2002 16:00:00,1.08
6/3/2002 16:00:00,1.13
6/4/2002 16:00:00,1.12
6/5/2002 16:00:00,1.15
6/6/2002 16:00:00,1.18
6/7/2002 16:00:00,1.12
6/10/2002 16:00:00,1.16
6/11/2002 16:00:00,1.15
6/12/2002 16:00:00,1.09
6/13/2002 16:00:00,1.08
6/14/2002 16:00:00,0.99
6/17/2002 16:00:00,0.92
6/18/2002 16:00:00,0.91
6/19/2002 16:00:00,0.95
6/20/2002 16:00:00,0.96
6/21/2002 16:00:00,0.98
6/24/2002 16:00:00,0.98
6/25/2002 16:00:00,0.96
6/26/2002 16:00:00,0.99
6/27/2002 16:00:00,0.94
6/28/2002 16:00:00,1
7/1/2002 16:00:00,1.03
7/2/2002 16:00:00,1.17
7/3/2002 16:00:00,1.21
7/5/2002 16:00:00,1.28
7/8/2002 16:00:00,1.18
7/9/2002 16:00:00,1.16
7/10/2002 16:00:00,1.16
7/11/2002 16:00:00,1.27
7/12/2002 16:00:00,1.21
7/15/2002 16:00:00,1.14
7/16/2002 16:00:00,1.13
7/17/2002 16:00:00,1.09
7/18/2002 16:00:00,1.15
7/19/2002 16:00:00,1.16
7/22/2002 16:00:00,1.17
7/23/2002 16:00:00,1.15
7/24/2002 16:00:00,1.11
7/25/2002 16:00:00,1.04
7/26/2002 16:00:00,0.87
7/29/2002 16:00:00,0.88
7/30/2002 16:00:00,0.91
7/31/2002 16:00:00,0.95
8/1/2002 16:00:00,0.89
8/2/2002 16:00:00,0.78
8/5/2002 16:00:00,0.78
8/6/2002 16:00:00,0.76
8/7/2002 16:00:00,0.79
8/8/2002 16:00:00,0.8
8/9/2002 16:00:00,0.79
8/12/2002 16:00:00,0.76
8/13/2002 16:00:00,0.77
8/14/2002 16:00:00,0.83
8/15/2002 16:00:00,0.88
8/16/2002 16:00:00,0.91
8/19/2002 16:00:00,0.98
8/20/2002 16:00:00,0.95
8/21/2002 16:00:00,0.97
8/22/2002 16:00:00,0.98
8/23/2002 16:00:00,0.99
8/26/2002 16:00:00,0.97
8/27/2002 16:00:00,0.87
8/28/2002 16:00:00,0.86
8/29/2002 16:00:00,0.9
8/30/2002 16:00:00,0.94
9/3/2002 16:00:00,0.93
9/4/2002 16:00:00,0.93
9/5/2002 16:00:00,0.92
9/6/2002 16:00:00,0.91
9/9/2002 16:00:00,0.9
9/10/2002 16:00:00,0.95
9/11/2002 16:00:00,0.96
9/12/2002 16:00:00,0.93
9/13/2002 16:00:00,0.88
9/16/2002 16:00:00,0.86
9/17/2002 16:00:00,0.86
9/18/2002 16:00:00,0.79
9/19/2002 16:00:00,0.72
9/20/2002 16:00:00,0.71
9/23/2002 16:00:00,0.71
9/24/2002 16:00:00,0.72
9/25/2002 16:00:00,0.73
9/26/2002 16:00:00,0.78
9/27/2002 16:00:00,0.72
9/30/2002 16:00:00,0.69
10/1/2002 16:00:00,0.68
10/2/2002 16:00:00,0.58
10/3/2002 16:00:00,0.52
10/4/2002 16:00:00,0.47
10/7/2002 16:00:00,0.41
10/8/2002 16:00:00,0.41
10/9/2002 16:00:00,0.37
10/10/2002 16:00:00,0.51
10/11/2002 16:00:00,0.47
10/14/2002 16:00:00,0.53
10/15/2002 16:00:00,0.55
10/16/2002 16:00:00,0.46
10/17/2002 16:00:00,0.55
10/18/2002 16:00:00,0.68
10/21/2002 16:00:00,0.64
10/22/2002 16:00:00,0.63
10/23/2002 16:00:00,0.59
10/24/2002 16:00:00,0.58
10/25/2002 16:00:00,0.64
10/28/2002 16:00:00,0.69
10/29/2002 16:00:00,0.66
10/30/2002 16:00:00,0.64
10/31/2002 16:00:00,0.64
11/1/2002 16:00:00,0.64
11/4/2002 16:00:00,0.67
11/5/2002 16:00:00,0.65
11/6/2002 16:00:00,0.63
11/7/2002 16:00:00,0.59
11/8/2002 16:00:00,0.61
11/11/2002 16:00:00,0.6
11/12/2002 16:00:00,0.58
11/13/2002 16:00:00,0.64
11/14/2002 16:00:00,0.62
11/15/2002 16:00:00,0.65
11/18/2002 16:00:00,0.78
11/19/2002 16:00:00,0.66
11/20/2002 16:00:00,0.72
11/21/2002 16:00:00,0.79
11/22/2002 16:00:00,0.79
11/25/2002 16:00:00,0.79
11/26/2002 16:00:00,0.75
11/27/2002 16:00:00,0.75
11/29/2002 16:00:00,0.78
12/2/2002 16:00:00,0.76
12/3/2002 16:00:00,0.77
12/4/2002 16:00:00,0.71
12/5/2002 16:00:00,0.79
12/6/2002 16:00:00,0.78
12/9/2002 16:00:00,0.8
12/10/2002 16:00:00,0.87
12/11/2002 16:00:00,0.9
12/12/2002 16:00:00,0.9
12/13/2002 16:00:00,0.89
12/16/2002 16:00:00,0.91
12/17/2002 16:00:00,0.91
12/18/2002 16:00:00,0.79
12/19/2002 16:00:00,0.77
12/20/2002 16:00:00,0.76
12/23/2002 16:00:00,0.73
12/24/2002 16:00:00,0.71
12/26/2002 16:00:00,0.7
